"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1648","Navigation from login page to registration page","LMS system","2026-08-06","passed","2026-08-06","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-08-06","passed","2026-08-06","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","2026-08-06","passed","2026-08-06","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-08-06","passed","2026-08-06","","test_markers","",""
"","1682","Check displaying of empty courses list","LMS system","2026-08-06","passed","2026-08-06","Courses","Courses","",""
"","1774","User login with wrong email or password","LMS system","2026-08-06","passed","2026-08-06","Authorization","Authentication","",""
"","1678","User login with wrong email or password","LMS system","2026-08-06","passed","2026-08-06","Authorization","Authentication","",""
"","1890","Registration with correct email, username and password","LMS system","2026-08-06","passed","2026-08-06","Registration","Authentication","",""
"","1967","User login with wrong email or password","LMS system","2026-08-06","passed","2026-08-06","Authorization","Authentication","",""
"","0","test_critial_login","tests.pytest","2026-08-06","passed","2026-08-06","","test_markers","",""
"","2245","Create course","LMS system","2026-08-06","passed","2026-08-06","Courses","Courses","",""
"","1616","Check displaying of dashboard page","LMS system","2026-08-06","passed","2026-08-06","Dashboard","Dashboard","",""
"","0","test_password_reset","tests.pytest","2026-08-06","passed","2026-08-06","TestUserAuthentication","test_markers","",""
"","2767","User login with correct email and password","LMS system","2026-08-06","passed","2026-08-06","Authorization","Authentication","",""
"","2426","Edit course","LMS system","2026-08-06","passed","2026-08-06","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","2026-08-06","passed","2026-08-06","TestUserInterface","test_markers","",""
